Capture_22:222,
898.544,394.58
898.84,406.82
899.136,409.27
899.431,370.1
899.727,404.38
900.022,477.82
900.317,409.27
900.613,416.62
900.908,343.18
901.203,438.65
901.498,465.58
901.793,323.59
902.088,375
902.383,411.72
902.678,431.3
902.973,448.44
903.267,372.55
903.562,350.52
903.857,421.51
904.151,367.66
904.446,411.72
904.74,397.03
905.034,372.55
905.329,372.55
905.623,355.42
905.917,406.82
906.211,438.65
906.505,490.06
906.799,411.72
907.093,360.31
907.387,477.82
907.681,382.34
907.975,441.1
908.268,372.55
908.562,397.03
908.856,387.24
909.149,333.38
909.442,387.24
909.736,392.14
910.029,419.06
910.322,379.9
910.616,416.62
910.909,350.52
911.202,455.78
911.495,426.41
911.788,382.34
912.081,409.27
912.374,357.86
912.666,389.69
912.959,394.58
913.252,387.24
913.544,362.76
913.837,301.56
914.129,470.47
914.422,330.94
914.714,428.86
915.006,387.24
915.298,367.66
915.591,362.76
915.883,401.93
916.175,494.95
916.467,350.52
916.759,375
917.05,406.82
917.342,441.1
917.634,423.96
917.926,352.97
918.217,389.69
